media_source,date,country_code,earnings,cost
ByteDance,2020-07-09,US,0.0,0.0
ByteDance,2020-07-22,US,0.5,0.0
ByteDance,2020-07-23,US,0.0,0.0
ByteDance,2020-07-29,US,0.0,101.0
ByteDance,2020-07-30,US,0.0,43.28
ByteDance,2020-07-31,US,0.0,17.96
ByteDance,2020-08-01,US,0.0,5.41
ByteDance,2020-08-02,US,0.5,178.65
ByteDance,2020-08-03,US,50.99,328.73
ByteDance,2020-08-04,MX,0.5,0.0
ByteDance,2020-08-04,US,12.99,636.93
ByteDance,2020-08-05,RU,0.0,6.74
ByteDance,2020-08-05,US,3.0,660.85
ByteDance,2020-08-06,RU,0.5,41.38
ByteDance,2020-08-06,US,100.98,518.88
ByteDance,2020-08-07,RU,0.0,36.52
ByteDance,2020-08-07,US,1.0,620.09
ByteDance,2020-08-08,RU,0.0,55.59
ByteDance,2020-08-08,US,1.0,437.96
ByteDance,2020-08-09,RU,0.0,9.22
ByteDance,2020-08-09,US,1.5,337.5
ByteDance,2020-08-10,RU,0.0,0.0
ByteDance,2020-08-10,US,11.99,244.9
ByteDance,2020-08-11,MX,9.99,0.0
ByteDance,2020-08-11,RU,0.0,2.36
ByteDance,2020-08-11,US,71.47,240.86
ByteDance,2020-08-12,MX,7.99,0.0
ByteDance,2020-08-12,RU,0.0,0.0
ByteDance,2020-08-12,US,56.94,253.22
ByteDance,2020-08-13,RU,0.0,0.0
ByteDance,2020-08-13,US,9.99,247.86
ByteDance,2020-08-14,US,10.49,263.49
ByteDance,2020-08-15,US,17.98,359.24
ByteDance,2020-08-16,US,0.5,140.06
ByteDance,2020-08-17,US,0.0,146.18
ByteDance,2020-08-18,MX,9.99,0.0
ByteDance,2020-08-18,US,29.97,71.38
ByteDance,2020-08-19,US,36.96,147.87
ByteDance,2020-08-20,US,10.49,40.84
ByteDance,2020-08-21,US,9.99,48.94
ByteDance,2020-08-22,US,10.49,18.71
ByteDance,2020-08-23,US,0.0,34.05
ByteDance,2020-08-24,US,0.0,41.44
ByteDance,2020-08-25,US,30.97,109.11
ByteDance,2020-08-26,US,20.98,223.81
ByteDance,2020-08-27,DE,0.0,0.69
ByteDance,2020-08-27,PL,0.0,2.32
ByteDance,2020-08-27,RU,0.0,14.06
ByteDance,2020-08-27,US,48.96,668.55
ByteDance,2020-08-28,CA,0.0,0.05
ByteDance,2020-08-28,DE,0.0,8.16
ByteDance,2020-08-28,GB,0.0,0.0
ByteDance,2020-08-28,PL,0.0,7.15
ByteDance,2020-08-28,RU,0.0,3.36
ByteDance,2020-08-28,US,52.45,406.68
ByteDance,2020-08-29,CA,0.0,3.02
ByteDance,2020-08-29,DE,0.0,35.21
ByteDance,2020-08-29,GB,0.0,0.46
ByteDance,2020-08-29,PL,0.0,7.89
ByteDance,2020-08-29,RU,0.0,23.04
ByteDance,2020-08-29,US,15.49,502.47
ByteDance,2020-08-30,CA,0.0,0.88
ByteDance,2020-08-30,DE,0.0,6.05
ByteDance,2020-08-30,GB,0.0,0.09
ByteDance,2020-08-30,PL,0.0,4.64
ByteDance,2020-08-30,RU,0.0,8.03
ByteDance,2020-08-30,US,19.48,322.02
ByteDance,2020-08-31,CA,0.0,0.86
ByteDance,2020-08-31,DE,0.0,0.63
ByteDance,2020-08-31,GB,0.0,0.0
ByteDance,2020-08-31,PL,0.0,0.76
ByteDance,2020-08-31,RU,0.0,0.11
ByteDance,2020-08-31,US,15.99,430.39
ByteDance,2020-09-01,CA,0.0,0.09
ByteDance,2020-09-01,DE,0.0,0.0
ByteDance,2020-09-01,GB,0.0,0.0
ByteDance,2020-09-01,PL,0.0,0.0
ByteDance,2020-09-01,RU,0.0,0.0
ByteDance,2020-09-01,US,48.96,844.22
ByteDance,2020-09-02,CA,0.0,0.22
ByteDance,2020-09-02,DE,0.0,6.6
ByteDance,2020-09-02,GB,0.0,2.53
ByteDance,2020-09-02,PL,0.0,3.89
ByteDance,2020-09-02,US,279.89,1254.51
ByteDance,2020-09-03,CA,0.0,11.97
ByteDance,2020-09-03,DE,0.0,3.62
ByteDance,2020-09-03,GB,0.0,50.33
ByteDance,2020-09-03,PL,0.0,5.63
ByteDance,2020-09-03,US,195.31,707.47
ByteDance,2020-09-04,CA,0.0,12.52
ByteDance,2020-09-04,GB,0.0,44.98
ByteDance,2020-09-04,PL,0.0,12.4
ByteDance,2020-09-04,RU,0.0,0.0
ByteDance,2020-09-04,US,169.38,1107.05
ByteDance,2020-09-05,CA,0.0,0.61
ByteDance,2020-09-05,GB,0.0,1.18
ByteDance,2020-09-05,PL,0.0,3.24
ByteDance,2020-09-05,US,99.91,1093.45
ByteDance,2020-09-06,CA,0.0,0.0
ByteDance,2020-09-06,DE,0.0,0.0
ByteDance,2020-09-06,GB,0.0,0.04
ByteDance,2020-09-06,PL,0.0,1.02
ByteDance,2020-09-06,US,97.45,952.86
ByteDance,2020-09-07,CA,0.0,13.5
