country_code,media_source,earnings,user_count,date,cost
AE,Facebook Ads,1.0,3.0,2020-07-01,59.3
AT,Facebook Ads,0.5,1.0,2020-07-01,7.53
AU,Facebook Ads,111.97,9.0,2020-07-01,73.72
BE,Facebook Ads,0.5,1.0,2020-07-01,13.26
BM,Facebook Ads,49.99,1.0,2020-07-01,0.92
BN,Facebook Ads,0.5,1.0,2020-07-01,1.22
BR,Facebook Ads,21.98,15.0,2020-07-01,249.99
CA,Facebook Ads,9.99,6.0,2020-07-01,108.74
CH,Facebook Ads,0.5,1.0,2020-07-01,24.18
CN,Facebook Ads,49.99,1.0,2020-07-01,39.09
CO,Facebook Ads,0.0,1.0,2020-07-01,15.43
CR,Facebook Ads,0.5,1.0,2020-07-01,6.18
CY,Facebook Ads,0.5,1.0,2020-07-01,3.73
DE,Facebook Ads,2.0,5.0,2020-07-01,50.67
DO,Facebook Ads,0.0,1.0,2020-07-01,5.3
EE,Facebook Ads,0.5,1.0,2020-07-01,1.63
ES,Facebook Ads,0.5,1.0,2020-07-01,24.76
FR,Facebook Ads,0.5,1.0,2020-07-01,22.66
GR,Facebook Ads,1.0,2.0,2020-07-01,9.3
HK,Facebook Ads,12.49,8.0,2020-07-01,93.2
HR,Facebook Ads,0.0,1.0,2020-07-01,4.8
ID,Facebook Ads,0.0,2.0,2020-07-01,13.03
IL,Facebook Ads,0.5,1.0,2020-07-01,10.6
IN,Facebook Ads,0.5,1.0,2020-07-01,38.32
IT,Facebook Ads,0.5,1.0,2020-07-01,20.13
KH,Facebook Ads,0.0,2.0,2020-07-01,4.08
KR,Facebook Ads,0.5,1.0,2020-07-01,11.03
KZ,Facebook Ads,0.0,1.0,2020-07-01,6.34
MN,Facebook Ads,10.49,2.0,2020-07-01,2.87
MO,Facebook Ads,49.99,1.0,2020-07-01,6.13
MX,Facebook Ads,0.5,3.0,2020-07-01,27.8
NL,Facebook Ads,0.5,1.0,2020-07-01,28.24
NO,Facebook Ads,0.5,3.0,2020-07-01,18.25
NZ,Facebook Ads,0.0,2.0,2020-07-01,18.44
OM,Facebook Ads,0.0,2.0,2020-07-01,8.23
Organic/Unknown,Organic/Unknown,182.94,36.0,2020-07-01,
PH,Facebook Ads,49.99,3.0,2020-07-01,63.15
PR,Facebook Ads,0.5,1.0,2020-07-01,4.52
PY,Facebook Ads,0.0,1.0,2020-07-01,1.53
RO,Facebook Ads,1.0,3.0,2020-07-01,8.5
RS,Facebook Ads,0.5,1.0,2020-07-01,3.4
RU,Facebook Ads,1.0,5.0,2020-07-01,41.28
SA,Facebook Ads,1.0,7.0,2020-07-01,42.96
SE,Facebook Ads,0.5,1.0,2020-07-01,14.47
SG,Facebook Ads,10.49,2.0,2020-07-01,26.55
TH,Facebook Ads,0.5,3.0,2020-07-01,37.16
TR,Facebook Ads,1.0,3.0,2020-07-01,41.47
UA,Facebook Ads,0.5,3.0,2020-07-01,8.31
UK,Facebook Ads,52.49,8.0,2020-07-01,
US,Facebook Ads,343.91,52.0,2020-07-01,810.0
VN,Facebook Ads,60.980000000000004,7.0,2020-07-01,24.52
ZA,Facebook Ads,0.5,1.0,2020-07-01,20.54
AE,Facebook Ads,0.0,4.0,2020-07-02,53.09
AM,Facebook Ads,0.0,1.0,2020-07-02,3.26
AR,Facebook Ads,0.0,1.0,2020-07-02,7.56
AU,Facebook Ads,9.49,5.0,2020-07-02,71.93
AZ,Facebook Ads,0.0,1.0,2020-07-02,3.58
BA,Facebook Ads,0.0,1.0,2020-07-02,0.59
BE,Facebook Ads,0.0,1.0,2020-07-02,13.19
BR,Facebook Ads,22.98,10.0,2020-07-02,91.21
CA,Facebook Ads,9.99,12.0,2020-07-02,116.84
CN,Facebook Ads,0.5,2.0,2020-07-02,32.45
CO,Facebook Ads,0.5,1.0,2020-07-02,16.76
CR,Facebook Ads,0.5,1.0,2020-07-02,8.18
CZ,Facebook Ads,0.5,1.0,2020-07-02,12.27
DE,Facebook Ads,1.0,5.0,2020-07-02,56.16
DO,Facebook Ads,0.5,1.0,2020-07-02,5.31
EG,Facebook Ads,10.49,2.0,2020-07-02,20.26
ES,Facebook Ads,0.5,1.0,2020-07-02,22.02
FR,Facebook Ads,1.5,3.0,2020-07-02,27.0
GH,Facebook Ads,0.0,1.0,2020-07-02,22.06
HK,Facebook Ads,2.0,5.0,2020-07-02,64.73
ID,Facebook Ads,0.0,1.0,2020-07-02,14.87
IL,Facebook Ads,0.0,1.0,2020-07-02,9.45
IN,Facebook Ads,8.49,5.0,2020-07-02,15.93
IQ,Facebook Ads,0.5,1.0,2020-07-02,4.2
IT,Facebook Ads,0.5,2.0,2020-07-02,24.15
JM,Facebook Ads,0.0,1.0,2020-07-02,3.88
JP,Facebook Ads,1.0,2.0,2020-07-02,27.46
KR,Facebook Ads,0.0,1.0,2020-07-02,11.14
KW,Facebook Ads,0.5,1.0,2020-07-02,7.79
KZ,Facebook Ads,0.5,1.0,2020-07-02,6.12
LA,Facebook Ads,0.5,1.0,2020-07-02,0.73
MX,Facebook Ads,50.49,4.0,2020-07-02,30.93
MY,Facebook Ads,1.5,3.0,2020-07-02,33.97
NG,Facebook Ads,0.0,1.0,2020-07-02,29.21
NL,Facebook Ads,1.0,4.0,2020-07-02,26.56
Organic/Unknown,Organic/Unknown,168.46,35.0,2020-07-02,
PH,Facebook Ads,9.49,8.0,2020-07-02,77.46
PL,Facebook Ads,11.99,6.0,2020-07-02,52.49
RU,Facebook Ads,8.49,4.0,2020-07-02,37.31
SA,Facebook Ads,51.49,6.0,2020-07-02,55.08
SA,Google Ads,0.0,1.0,2020-07-02,
SG,Facebook Ads,0.5,1.0,2020-07-02,30.86
TH,Facebook Ads,1.0,2.0,2020-07-02,34.0
TN,Facebook Ads,0.0,1.0,2020-07-02,1.39
TR,Facebook Ads,0.5,3.0,2020-07-02,39.25
TW,Facebook Ads,0.5,2.0,2020-07-02,13.34
UK,Facebook Ads,51.49,7.0,2020-07-02,
US,Facebook Ads,202.43,60.0,2020-07-02,820.49
VN,Facebook Ads,2.0,7.0,2020-07-02,58.09
ZA,Facebook Ads,0.0,1.0,2020-07-02,25.38
AE,Facebook Ads,1.5,3.0,2020-07-03,63.55
AU,Facebook Ads,51.99,5.0,2020-07-03,112.7
BE,Facebook Ads,10.49,2.0,2020-07-03,9.96
BR,Facebook Ads,151.47,8.0,2020-07-03,138.66
CA,Facebook Ads,11.99,7.0,2020-07-03,104.55
CL,Facebook Ads,10.99,4.0,2020-07-03,22.19
CN,Facebook Ads,0.5,1.0,2020-07-03,39.11
CR,Facebook Ads,0.5,1.0,2020-07-03,6.6
DE,Facebook Ads,1.5,4.0,2020-07-03,44.27
EG,Facebook Ads,0.0,2.0,2020-07-03,25.09
ES,Facebook Ads,0.5,2.0,2020-07-03,20.03
FI,Facebook Ads,0.0,1.0,2020-07-03,5.98
FR,Facebook Ads,1.0,2.0,2020-07-03,27.38
GR,Facebook Ads,0.5,1.0,2020-07-03,7.88
HK,Facebook Ads,151.47,8.0,2020-07-03,73.09
ID,Facebook Ads,10.49,2.0,2020-07-03,18.86
IL,Facebook Ads,0.0,1.0,2020-07-03,12.64
IN,Facebook Ads,0.0,1.0,2020-07-03,35.82
IQ,Facebook Ads,0.5,1.0,2020-07-03,3.94
KR,Facebook Ads,1.0,2.0,2020-07-03,16.83
KW,Facebook Ads,0.5,1.0,2020-07-03,10.72
KZ,Facebook Ads,0.0,1.0,2020-07-03,6.63
LB,Facebook Ads,0.5,1.0,2020-07-03,5.08
MO,Facebook Ads,0.5,1.0,2020-07-03,8.0
MQ,Facebook Ads,0.5,1.0,2020-07-03,0.48
MY,Facebook Ads,1.0,2.0,2020-07-03,43.21
NG,Facebook Ads,0.0,2.0,2020-07-03,29.15
NL,Facebook Ads,10.99,3.0,2020-07-03,19.04
NO,Facebook Ads,0.5,1.0,2020-07-03,13.76
NZ,Facebook Ads,1.0,2.0,2020-07-03,23.02
OM,Facebook Ads,0.5,1.0,2020-07-03,10.42
Organic/Unknown,Organic/Unknown,58.99,27.0,2020-07-03,
PH,Facebook Ads,1.5,6.0,2020-07-03,61.96
PK,Facebook Ads,7.99,2.0,2020-07-03,4.28
PL,Facebook Ads,1.0,3.0,2020-07-03,77.66
PR,Facebook Ads,0.5,1.0,2020-07-03,3.34
RO,Facebook Ads,0.0,1.0,2020-07-03,14.6
RU,Facebook Ads,1.0,2.0,2020-07-03,38.7
SA,Facebook Ads,2.5,5.0,2020-07-03,48.16
SE,Facebook Ads,50.49,2.0,2020-07-03,16.21
SG,Facebook Ads,0.5,1.0,2020-07-03,29.63
SK,Facebook Ads,0.5,1.0,2020-07-03,7.92
TH,Facebook Ads,9.49,5.0,2020-07-03,34.07
TR,Facebook Ads,1.0,3.0,2020-07-03,35.8
UK,Facebook Ads,2.5,9.0,2020-07-03,
US,Facebook Ads,423.87,70.0,2020-07-03,965.53
VN,Facebook Ads,1.5,3.0,2020-07-03,44.17
ZA,Facebook Ads,0.0,1.0,2020-07-03,23.79
AE,Facebook Ads,0.0,3.0,2020-07-04,68.0
AR,Facebook Ads,0.5,1.0,2020-07-04,6.6
AU,Facebook Ads,1.0,3.0,2020-07-04,85.01
BN,Facebook Ads,1.0,2.0,2020-07-04,1.1
BR,Facebook Ads,61.980000000000004,9.0,2020-07-04,169.86
CA,Facebook Ads,51.49,5.0,2020-07-04,97.28
CH,Facebook Ads,0.5,1.0,2020-07-04,14.55
CL,Facebook Ads,0.5,1.0,2020-07-04,47.09
CN,Facebook Ads,1.0,2.0,2020-07-04,28.19
DE,Facebook Ads,0.0,2.0,2020-07-04,42.1
EC,Facebook Ads,0.5,1.0,2020-07-04,6.68
ES,Facebook Ads,0.5,1.0,2020-07-04,23.1
FR,Facebook Ads,0.5,1.0,2020-07-04,23.24
GR,Facebook Ads,10.49,2.0,2020-07-04,7.27
HK,Facebook Ads,12.49,8.0,2020-07-04,78.19
HR,Facebook Ads,49.99,1.0,2020-07-04,4.62
HU,Facebook Ads,0.0,1.0,2020-07-04,11.69
ID,Facebook Ads,51.49,4.0,2020-07-04,21.06
IE,Facebook Ads,0.0,1.0,2020-07-04,11.37
JM,Facebook Ads,0.5,1.0,2020-07-04,3.7
KR,Facebook Ads,0.5,1.0,2020-07-04,15.23
KW,Facebook Ads,0.5,1.0,2020-07-04,9.66
KZ,Facebook Ads,0.5,2.0,2020-07-04,7.62
MA,Facebook Ads,0.5,1.0,2020-07-04,2.33
MM,Facebook Ads,0.5,1.0,2020-07-04,0.93
MN,Facebook Ads,0.0,1.0,2020-07-04,3.01
MV,Facebook Ads,0.5,1.0,2020-07-04,1.48
MX,Facebook Ads,62.980000000000004,8.0,2020-07-04,60.97
NG,Facebook Ads,1.5,4.0,2020-07-04,32.93
NL,Facebook Ads,0.5,1.0,2020-07-04,15.97
NZ,Facebook Ads,1.0,2.0,2020-07-04,14.97
OM,Facebook Ads,0.0,1.0,2020-07-04,7.3
Organic/Unknown,Organic/Unknown,245.92000000000002,38.0,2020-07-04,
PE,Facebook Ads,0.5,2.0,2020-07-04,7.88
PG,Facebook Ads,0.5,1.0,2020-07-04,0.4
PH,Facebook Ads,8.49,3.0,2020-07-04,50.85
PL,Facebook Ads,1.5,3.0,2020-07-04,30.7
RU,Facebook Ads,0.0,1.0,2020-07-04,18.0
SA,Facebook Ads,8.49,5.0,2020-07-04,45.03
SG,Facebook Ads,0.5,1.0,2020-07-04,27.18
SR,Facebook Ads,0.5,1.0,2020-07-04,0.21
TH,Facebook Ads,1.0,3.0,2020-07-04,39.52
TR,Facebook Ads,8.99,7.0,2020-07-04,51.26
TW,Facebook Ads,0.5,1.0,2020-07-04,16.83
TZ,Facebook Ads,0.5,1.0,2020-07-04,6.28
UA,Facebook Ads,0.5,2.0,2020-07-04,5.32
UK,Facebook Ads,1.5,6.0,2020-07-04,
US,Facebook Ads,94.96000000000001,52.0,2020-07-04,1129.41
VN,Facebook Ads,0.5,2.0,2020-07-04,25.34
ZA,Facebook Ads,0.5,1.0,2020-07-04,12.98
