media_source,country_code,month,earnings,cost,cumulative_earnings,cumulative_cost,cumulative_ROMI
Facebook Ads,PG,2020-07,89.45,18.45,89.45,18.45,384.8238482384824
Facebook Ads,GI,2020-07,49.99,11.99,49.99,11.99,316.93077564637196
Facebook Ads,AW,2020-07,49.99,12.68,49.99,12.68,294.2429022082019
Facebook Ads,SR,2020-07,30.97,9.68,30.97,9.68,219.93801652892563
Facebook Ads,BM,2020-07,70.97,23.33,70.97,23.33,204.20060008572656
Facebook Ads,EE,2020-07,158.92000000000002,53.67,158.92000000000002,53.67,196.10583193590463
Facebook Ads,GF,2020-07,49.99,19.97,49.99,19.97,150.32548823234856
Facebook Ads,RE,2020-07,70.47,29.04,70.47,29.04,142.66528925619835
Facebook Ads,BQ,2020-07,10.49,4.53,10.49,4.53,131.5673289183223
Facebook Ads,HT,2020-07,72.43,33.74,72.43,33.74,114.67101363366925
Facebook Ads,SR,2020-08,109.89,10.23,140.86,19.91,607.4836765444501
Facebook Ads,NE,2020-08,49.99,7.0,49.99,11.96,317.9765886287625
Facebook Ads,PG,2020-08,105.89,28.47,195.34,46.92,316.32566069906227
Facebook Ads,MC,2020-08,89.95,18.3,110.43,39.269999999999996,181.20702826585185
Facebook Ads,BM,2020-08,40.46,24.39,111.43,47.72,133.50796311818948
Facebook Ads,ME,2020-08,120.42,37.86,148.89,70.62,110.8326253186066
Facebook Ads,AW,2020-08,10.99,17.78,60.980000000000004,30.46,100.19697964543664
Facebook Ads,JE,2020-08,79.91,25.96,118.37,61.63,92.06555249067013
Facebook Ads,HT,2020-08,70.93,41.41,143.36,75.15,90.7651363938789
Facebook Ads,BQ,2020-08,9.99,6.28,20.48,10.81,89.45420906567992
ByteDance,KR,2020-09,0.0,1.2200000000000002,7.99,1.2200000000000002,554.9180327868851
Facebook Ads,SR,2020-09,19.98,13.64,160.84,33.55,379.4038748137109
Facebook Ads,PG,2020-09,113.88,24.830000000000002,309.22,71.75,330.96864111498263
Facebook Ads,MC,2020-09,60.440000000000005,7.51,170.87,46.78,265.262932877298
Facebook Ads,DM,2020-09,40.95,6.2,48.940000000000005,13.879999999999999,252.59365994236313
Facebook Ads,YT,2020-09,31.96,4.04,55.93,17.67,216.52518392756082
Facebook Ads,ME,2020-09,134.85999999999999,27.75,283.75,98.37,188.45176374911048
Facebook Ads,NE,2020-09,0.0,6.36,49.99,18.32,172.87117903930132
Facebook Ads,BM,2020-09,89.41,29.08,200.84,76.8,161.51041666666669
Facebook Ads,JE,2020-09,79.91,22.03,198.28,83.66,137.00693282333253
