media_source,date,earnings,cost
ByteDance,2020-07-09,0.0,0.0
ByteDance,2020-07-22,0.5,0.0
ByteDance,2020-07-23,0.0,0.0
ByteDance,2020-07-29,0.0,101.0
ByteDance,2020-07-30,0.0,43.28
ByteDance,2020-07-31,0.0,17.96
ByteDance,2020-08-01,0.0,5.41
ByteDance,2020-08-02,0.5,178.65
ByteDance,2020-08-03,50.99,328.73
ByteDance,2020-08-04,13.49,636.93
ByteDance,2020-08-05,3.0,667.59
ByteDance,2020-08-06,101.48,560.26
ByteDance,2020-08-07,1.0,656.61
ByteDance,2020-08-08,1.0,493.54999999999995
ByteDance,2020-08-09,1.5,346.72
ByteDance,2020-08-10,11.99,244.9
ByteDance,2020-08-11,81.46,243.22000000000003
ByteDance,2020-08-12,64.93,253.22
ByteDance,2020-08-13,9.99,247.86
ByteDance,2020-08-14,10.49,263.49
ByteDance,2020-08-15,17.98,359.24
ByteDance,2020-08-16,0.5,140.06
ByteDance,2020-08-17,0.0,146.18
ByteDance,2020-08-18,39.96,71.38
ByteDance,2020-08-19,36.96,147.87
ByteDance,2020-08-20,10.49,40.84
ByteDance,2020-08-21,9.99,48.94
ByteDance,2020-08-22,10.49,18.71
ByteDance,2020-08-23,0.0,34.05
ByteDance,2020-08-24,7.99,41.44
ByteDance,2020-08-25,30.97,109.11
ByteDance,2020-08-26,20.98,223.81
ByteDance,2020-08-27,148.94,698.97
ByteDance,2020-08-28,52.45,518.15
ByteDance,2020-08-29,15.49,640.27
ByteDance,2020-08-30,19.48,362.75
ByteDance,2020-08-31,15.99,452.23
ByteDance,2020-09-01,48.96,886.52
ByteDance,2020-09-02,279.89,1274.27
ByteDance,2020-09-03,195.31,861.96
ByteDance,2020-09-04,169.38,1240.76
ByteDance,2020-09-05,99.91,1115.22
ByteDance,2020-09-06,97.45,960.85
ByteDance,2020-09-07,214.37,1653.32
ByteDance,2020-09-08,208.84,2167.16
ByteDance,2020-09-09,185.82,1683.35
ByteDance,2020-09-10,241.76000000000002,1633.93
ByteDance,2020-09-11,180.82,668.3100000000001
ByteDance,2020-09-12,225.31,83.19
ByteDance,2020-09-13,108.89,151.65
ByteDance,2020-09-14,78.42,102.02
ByteDance,2020-09-15,186.31,3.06
ByteDance,2020-09-16,219.77,25.56
ByteDance,2020-09-17,269.77,2.54
ByteDance,2020-09-18,139.86,0.17
ByteDance,2020-09-19,165.83,0.77
ByteDance,2020-09-20,97.9,0.0
ByteDance,2020-09-21,39.96,10.46
ByteDance,2020-09-22,138.86,63.54
ByteDance,2020-09-23,163.83,163.58
